Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Japan,JPN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,229.0776155,190.928196,195.3274556,196.574394,195.7672154,195.0460794,192.6940999,192.5155072,198.3809559,216.0105177,215.2995289,225.1824258,228.7016706,232.9984081,234.9960968,233.3917127,239.5604159,244.008404,248.1021777,252.6811813,280.4392139,281.692225,284.2610427,274.9897324,267.3529651
India,IND,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,54.64512918,57.73906777,62.61952452,63.1792536,64.63570806,65.5481219,68.06302179,72.28042392,77.37295611,79.07519634,77.67995244,78.83731129,76.91318852,78.18217173,77.89935376,78.01191058,74.54926535,74.14418936,74.0978246,76.98188097,87.67667268,82.10203483,..,..,..
Zimbabwe,ZWE,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,26.71103133,48.6003857,151.5514279,70.19067338,31.37967543,45.39995059,..,..,..,14.28177618,18.46541831,20.68611138,21.72818601,20.36550158,22.45195535,23.72451734,27.43854866,12.21124204,14.37926766,10.8019715,10.00246031,10.23999733,12.67310996,11.20461302,..
United States,USA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,68.51417061,71.63627391,72.44868594,72.1575084,71.54965721,72.45148983,74.53609725,79.47787196,84.2544044,90.69069702,84.84881945,87.32368548,87.91684036,88.66008223,89.49218445,88.98236708,89.99016908,90.52383067,89.3303889,92.98697951,110.6387647,116.7863505,105.4462243,100.6844111,100.7243489
"Venezuela, RB",VEN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,19.84192921,19.67708051,18.60544505,24.27602775,22.97407511,23.69126639,31.59033294,33.68853234,31.67220976,37.42322848,32.15887487,35.94162096,43.14500513,48.60967872,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
